time(ms),J1_Rail voltage(V),J1_Rail current(mA),J2_Rail voltage(V),J2_Rail current(mA),J3_Rail voltage(V),J3_Rail current(mA),J4_Rail voltage(V),J4_Rail current(mA),J5_Rail voltage(V),J5_Rail current(mA),J6_Rail voltage(V),J6_Rail current(mA),J7_Rail voltage(V),J7_Rail current(mA),J8_Rail voltage(V),J8_Rail current(mA),J9_Rail voltage(V),J9_Rail current(mA),J10_Rail voltage(V),J10_Rail current(mA)
612,1.517791,0.134584,-0.034566,555.538601,0.000006,-0.000061,0.000003,-0.000030,-0.000012,0.000122,-0.000003,0.000030,0.000021,-0.000213,0.000024,-0.000244,0.000012,-0.000122,-0.000043,0.001418
631,1.513405,0.134493,-0.031637,555.538601,0.000024,-0.000244,0.000000,0.000000,0.000003,-0.000030,0.000000,0.000000,0.000000,0.000000,-0.000034,0.000335,0.000049,-0.000487,0.000021,-0.000709
651,1.520714,0.134645,-0.033590,555.538601,0.000031,-0.000305,-0.000012,0.000122,-0.000015,0.000152,0.000006,-0.000061,0.000003,-0.000030,0.000006,-0.000061,-0.000027,0.000274,0.000003,-0.000101
671,1.509505,0.134432,-0.037984,555.538601,-0.000006,0.000061,-0.000027,0.000274,-0.000021,0.000213,0.000000,0.000000,0.000006,-0.000061,-0.000052,0.000518,-0.000012,0.000122,0.000000,0.000000
690,1.512429,0.134493,-0.036031,555.538601,0.000027,-0.000274,-0.000018,0.000183,-0.000009,0.000091,0.000024,-0.000244,-0.000024,0.000244,0.000015,-0.000152,-0.000018,0.000183,0.000015,-0.000507
710,1.509978,0.134584,-0.035543,555.538601,0.000012,-0.000122,0.000000,0.000000,0.000006,-0.000061,0.000003,-0.000030,0.000009,-0.000091,-0.000009,0.000091,0.000009,-0.000091,0.000024,-0.000811
729,1.510949,0.134645,-0.035055,555.538601,-0.000015,0.000152,-0.000018,0.000183,-0.000061,0.000609,0.000003,-0.000030,-0.000009,0.000091,0.000021,-0.000213,0.000003,-0.000030,0.000003,-0.000101
749,1.509969,0.134676,-0.030660,555.538601,0.000049,-0.000487,0.000000,0.000000,0.000031,-0.000305,0.000003,-0.000030,-0.000009,0.000091,0.000015,-0.000152,-0.000018,0.000183,-0.000043,0.001418
769,1.509999,0.134371,-0.024312,555.538601,-0.000006,0.000061,0.000009,-0.000091,0.000037,-0.000366,-0.000015,0.000152,0.000003,-0.000030,0.000018,-0.000183,0.000031,-0.000305,-0.000012,0.000405
788,1.515850,0.134463,-0.029195,555.538601,-0.000015,0.000152,-0.000003,0.000030,0.000009,-0.000091,0.000006,-0.000061,0.000021,-0.000213,0.000034,-0.000335,0.000009,-0.000091,0.000000,0.000000
808,1.520714,0.134645,-0.027730,555.538601,0.000021,-0.000213,-0.000031,0.000305,-0.000006,0.000061,-0.000040,0.000396,0.000000,0.000000,-0.000012,0.000122,-0.000009,0.000091,-0.000018,0.000608
828,1.518755,0.134706,-0.028707,555.538601,0.000012,-0.000122,0.000000,0.000000,-0.000003,0.000030,0.000012,-0.000122,-0.000009,0.000091,-0.000027,0.000274,0.000003,-0.000030,0.000009,-0.000304
848,1.513894,0.134493,-0.033101,555.538601,-0.000003,0.000030,0.000018,-0.000183,0.000000,0.000000,-0.000024,0.000244,0.000027,-0.000274,-0.000006,0.000061,0.000003,-0.000030,-0.000049,0.001621
868,1.517772,0.134767,-0.028219,555.538601,0.000021,-0.000213,-0.000037,0.000366,-0.000003,0.000030,-0.000003,0.000030,-0.000015,0.000152,-0.000021,0.000213,0.000006,-0.000061,0.000006,-0.000203
888,1.519173,0.135407,-0.031148,555.538601,-0.000009,0.000091,-0.000009,0.000091,-0.000003,0.000030,0.000000,0.000000,-0.000006,0.000061,-0.000003,0.000030,0.000012,-0.000122,-0.000021,0.000709
908,1.517281,0.134798,-0.034078,555.538601,0.000003,-0.000030,0.000009,-0.000091,-0.000006,0.000061,0.000012,-0.000122,0.000012,-0.000122,-0.000009,0.000091,0.000009,-0.000091,-0.000018,0.000608
928,1.510952,0.134615,-0.024800,555.538601,0.000018,-0.000183,0.000000,0.000000,-0.000024,0.000244,0.000009,-0.000091,0.000006,-0.000061,0.000006,-0.000061,-0.000006,0.000061,-0.000003,0.000101
948,1.511937,0.134523,-0.029683,555.538601,0.000012,-0.000122,0.000009,-0.000091,0.000003,-0.000030,0.000009,-0.000091,0.000021,-0.000213,-0.000015,0.000152,0.000006,-0.000061,-0.000009,0.000304
