time(ms),vdd_arm voltage(V),vdd_arm current(mA),vdd_soc voltage(V),vdd_soc current(mA),lpd5_vddq voltage(V),lpd5_vddq current(mA),lpd5_vdd2 voltage(V),lpd5_vdd2 current(mA),lpd5_vdd1 voltage(V),lpd5_vdd1 current(mA),vdd_ddr voltage(V),vdd_ddr current(mA),vddq_ddr voltage(V),vddq_ddr current(mA),vdd2_ddr voltage(V),vdd2_ddr current(mA),nvcc_sdio2 voltage(V),nvcc_sdio2 current(mA),nvcc_3v3 voltage(V),nvcc_3v3 current(mA),vdd_usb_3v3 voltage(V),vdd_usb_3v3 current(mA),vdd_ana_0v8 voltage(V),vdd_ana_0v8 current(mA),vdd_ana_1v8 voltage(V),vdd_ana_1v8 current(mA),nvcc_enet_ccm voltage(V),nvcc_enet_ccm current(mA),nvcc_wakeup voltage(V),nvcc_wakeup current(mA),nvcc_bbsm_1v8 voltage(V),nvcc_bbsm_1v8 current(mA),GROUP_SOC Power(mW),GROUP_SOC_FULL Power(mW),GROUP_DRAM Power(mW)
192,0.815018,84.838867,0.809299,447.387695,0.488685,9.155273,1.040601,43.029785,1.786304,2.082825,0.831928,60.424805,0.492573,10.986328,1.041093,-0.244141,3.287199,-0.396729,3.288362,2.624512,3.278459,19.309998,0.834586,136.413574,1.786905,92.529297,1.791220,3.112793,1.790356,1.983643,1.790353,0.117798,829.349899,845.803242,52.971452
200,0.822470,59.204102,0.824002,436.401367,0.503780,13.427734,1.049918,39.062500,1.793188,3.181458,0.837949,44.250488,0.499852,15.563965,1.040009,0.183105,3.287602,0.457764,3.294069,4.150391,3.281434,19.195557,0.832670,132.751465,1.789865,91.918945,1.796698,2.044678,1.791949,0.701904,1.794324,0.111389,791.588643,811.696706,53.482009
207,0.822843,82.397461,0.821027,445.556641,0.502403,4.577637,1.044575,36.315918,1.795407,3.738403,0.838492,38.757324,0.496938,14.038086,1.043973,-0.048828,3.291969,0.732422,3.288667,4.455566,3.283848,19.264221,0.838044,132.446289,1.789874,91.735840,1.793219,2.655029,1.792374,1.342773,1.794083,0.135498,811.732252,835.964037,46.946463
215,0.817667,43.334961,0.814990,480.957031,0.497523,4.272461,1.042252,24.414062,1.799380,2.349854,0.833353,64.392090,0.499440,7.934570,1.045298,0.512695,3.285689,0.061035,3.290681,3.845215,3.278856,19.538879,0.834122,133.972168,1.790417,90.637207,1.795837,0.885010,1.798825,0.305176,1.795322,0.109253,823.857997,838.850207,31.799541
222,0.817011,76.904297,0.819428,472.412109,0.498949,8.239746,1.041999,49.743652,1.787695,12.031555,0.834467,50.659180,0.497990,6.408691,1.043330,0.573730,3.286183,0.000000,3.292210,3.204346,3.282341,19.371033,0.836082,133.361816,1.787979,90.576172,1.787036,1.007080,1.788132,-0.183105,1.786935,0.215454,833.419716,845.441368,77.452797
229,0.815573,71.411133,0.815149,449.218750,0.498442,10.070801,1.044999,42.724609,1.791943,1.411438,0.836008,43.029785,0.497502,6.408691,1.041947,0.244141,3.288609,0.152588,3.286717,4.425049,3.282411,19.195557,0.833176,130.920410,1.794290,91.308594,1.800018,3.021240,1.798248,1.190186,1.798239,0.110474,799.957536,822.581758,52.196096
237,0.818006,73.242188,0.813837,418.701172,0.498445,9.765625,1.040180,36.315918,1.791589,2.296448,0.834366,60.729980,0.496526,6.408691,1.041422,0.390625,3.282741,0.244141,3.286830,3.295898,3.277904,19.477844,0.834144,131.835938,1.795746,91.491699,1.796149,2.655029,1.794827,1.220703,1.792874,0.256348,793.498968,812.093255,46.757013
244,0.820377,87.280273,0.819004,459.594727,0.500795,18.920898,1.041584,42.419434,1.791141,2.197266,0.833805,68.054199,0.499950,5.798340,1.037989,0.451660,3.293486,0.213623,3.291667,3.753662,3.282377,19.279480,0.839533,130.004883,1.791336,91.796875,1.797693,1.861572,1.796362,0.518799,1.792886,0.108643,845.183846,862.521702,57.594502
253,0.816513,78.735352,0.816883,493.164062,0.498402,14.038086,1.043607,84.228516,1.792206,3.196716,0.835590,36.010742,0.497969,8.544922,1.040021,0.134277,3.283229,0.244141,3.287282,3.662109,3.278999,19.180298,0.831202,133.056641,1.787952,91.125488,1.800101,2.197266,1.801706,0.793457,1.797726,0.112915,838.250623,856.475453,100.627278
260,0.814533,84.228516,0.812519,487.060547,0.498375,16.784668,1.040906,61.340332,1.788705,3.402710,0.830887,66.833496,0.492122,7.324219,1.038007,0.378418,3.293016,0.030518,3.295116,3.448486,3.283412,19.134521,0.838038,133.056641,1.793304,91.491699,1.801138,1.586914,1.797852,0.274658,1.793750,0.168762,862.589102,877.404804,78.301047
