time(ms),vdd_arm voltage(V),vdd_arm current(mA),vdd_soc voltage(V),vdd_soc current(mA),lpd5_vddq voltage(V),lpd5_vddq current(mA),lpd5_vdd2 voltage(V),lpd5_vdd2 current(mA),lpd5_vdd1 voltage(V),lpd5_vdd1 current(mA),vdd_ddr voltage(V),vdd_ddr current(mA),vddq_ddr voltage(V),vddq_ddr current(mA),vdd2_ddr voltage(V),vdd2_ddr current(mA),nvcc_sdio2 voltage(V),nvcc_sdio2 current(mA),nvcc_3v3 voltage(V),nvcc_3v3 current(mA),vdd_usb_3v3 voltage(V),vdd_usb_3v3 current(mA),vdd_ana_0v8 voltage(V),vdd_ana_0v8 current(mA),vdd_ana_1v8 voltage(V),vdd_ana_1v8 current(mA),nvcc_enet_ccm voltage(V),nvcc_enet_ccm current(mA),nvcc_wakeup voltage(V),nvcc_wakeup current(mA),nvcc_bbsm_1v8 voltage(V),nvcc_bbsm_1v8 current(mA),GROUP_SOC Power(mW),GROUP_SOC_FULL Power(mW),GROUP_DRAM Power(mW)
184,0.817108,57.373047,0.865162,603.027344,0.498454,8.850098,1.043961,48.828125,1.789825,1.823425,0.834366,60.729980,0.498473,7.019043,1.039600,-0.134277,3.281340,-0.396729,3.288334,2.899170,3.274592,19.210815,0.830210,134.582520,1.790784,93.078613,1.793860,1.129150,1.796878,0.244141,1.793314,0.114746,964.155458,974.851326,58.649652
191,0.816510,79.345703,0.869490,616.455078,0.498460,8.239746,1.043064,40.893555,1.793606,3.356934,0.835511,92.773438,0.501399,7.324219,1.046293,0.439453,3.287208,-0.488281,3.289830,2.593994,3.281938,19.157410,0.839963,135.803223,1.789810,93.017578,1.794797,1.525879,1.792499,0.091553,1.791946,0.104980,1026.048332,1035.879800,52.782800
199,0.821347,88.500977,0.864131,614.013672,0.497511,5.493164,1.040620,41.198730,1.794842,1.487732,0.837305,59.814453,0.498936,9.460449,1.041996,0.048828,3.285585,1.098633,3.291066,4.882812,3.280250,19.714355,0.835535,139.160156,1.790286,93.261719,1.800009,3.112793,1.795782,1.434326,1.794574,0.135193,1006.281100,1034.139202,48.275359
206,0.820450,72.631836,0.863066,631.713867,0.501875,8.544922,1.043046,42.724609,1.793100,3.402710,0.831354,68.969727,0.496031,7.019043,1.041007,0.097656,3.288139,-0.030518,3.287269,3.784180,3.280321,19.538879,0.834998,144.042969,1.788422,91.491699,1.789837,2.288818,1.790967,0.762939,1.792398,0.108643,1013.912749,1031.715033,54.953605
214,0.821827,90.332031,0.870185,672.607422,0.501390,8.239746,1.042109,38.757324,1.795999,3.479004,0.837769,62.255859,0.501894,6.713867,1.044929,0.036621,3.289540,0.610352,3.284694,5.126953,3.280174,19.905090,0.831595,142.517090,1.788385,92.224121,1.792377,1.312256,1.793036,-0.396729,1.789899,0.114441,1064.040175,1084.529130,50.768964
221,0.820404,81.787109,0.866371,654.296875,0.500395,10.070801,1.043925,52.490234,1.795703,1.777649,0.836982,92.163086,0.496980,9.765625,1.043552,-0.317383,3.283159,0.946045,3.291054,5.004883,3.281193,19.798279,0.837498,138.244629,1.789374,91.979980,1.795795,1.312256,1.792996,0.000000,1.790777,0.124207,1061.173580,1083.107475,63.027359
229,0.819797,105.590820,0.867790,663.452148,0.493141,3.051758,1.040150,39.367676,1.793689,1.930237,0.832108,91.247559,0.496040,6.103516,1.040967,0.256348,3.292555,-0.244141,3.295094,3.662109,3.284395,19.119263,0.836512,139.160156,1.791330,91.918945,1.796194,2.197266,1.795361,0.762939,1.791238,0.273438,1085.873572,1102.453189,45.915461
236,0.820337,95.214844,0.869291,656.127930,0.500880,10.375977,1.044517,42.114258,1.792212,1.960754,0.838428,93.994141,0.499934,7.324219,1.044880,0.231934,3.291078,-0.122070,3.292100,4.302979,3.285216,19.508362,0.835071,136.718750,1.789319,93.078613,1.798697,1.586914,1.798795,0.610352,1.791821,0.117493,1076.202806,1093.919175,52.700256
244,0.814649,61.035156,0.857755,619.506836,0.493962,18.615723,1.035673,96.435547,1.797101,1.945496,0.838434,93.383789,0.498964,6.713867,1.046793,0.390625,3.285658,0.366211,3.289241,3.601074,3.280882,19.355774,0.829691,137.634277,1.786856,93.505859,1.791354,1.770020,1.788074,0.396729,1.787909,0.118103,1008.153232,1025.081388,112.567361
252,0.820945,71.411133,0.869273,659.790039,0.499443,7.629395,1.047083,29.602051,1.797183,1.739502,0.837968,91.247559,0.499440,7.934570,1.041556,-0.146484,3.287147,0.122070,3.284282,4.364014,3.280864,19.401550,0.831205,132.751465,1.789294,93.566895,1.791327,2.044678,1.790491,0.640869,1.791699,0.227356,1054.258534,1073.802604,37.932463
